"","condition_FL_vs_ctl","condition_FS_vs_ctl","condition_LL_vs_ctl","condition_LS_vs_ctl","condition_RL_vs_ctl","condition_RS_vs_ctl","condition_SL_vs_ctl","condition_SS_vs_ctl","condition_YS_vs_ctl"
"CAALFM_C303540WA",0.564775616657132,0.485201590665743,0.305951850514312,0.454983801062555,0.168471124446481,0.252160878253982,0.473667743995223,0.414649858479895,0.344892398518892
"ULP1",-1.03372999715484,-1.24471951994224,-1.74785360373637,-1.47071430183483,-1.07972379773412,-1.01400369496873,-1.94540283227092,-1.18194284297769,-0.341145143746762
"CAALFM_C303560WA",-0.841297335392639,-1.05123282217991,-0.707765829669681,-1.37630686100152,-0.26787539384103,-0.537093123016357,-0.620751914528106,-1.32644644932921,-0.417010742692728
"CAALFM_C303570CA",2.61653004325763,-1.04698115828144,-0.0680646081507897,-0.30419527150711,-0.264361507480341,-0.998174259044089,-0.417381352010746,0.349121379192655,-1.54395629270903
"GTT13",2.75845406201602,0.81155495263614,1.10063763947223,2.47447037675389,0.245239057016489,0.650913901795886,2.31834921157702,8.5043378351367,-0.465677947341725
"CAALFM_C303590WA",-0.161320612759552,-0.668826439565527,-0.200258904992622,-0.367681875435332,-0.00156519806359417,-0.315265538619079,0.4715026059682,0.544910632833414,-0.27598180018214
"GTT12",2.18379872936257,-2.11770176222785,0.412884002222057,-1.30008710268702,-0.217904565442317,-1.62596783085511,-0.0672507090769977,-1.50080419297348,-2.05239748750641
"FUR4",0.522806957679844,1.6094587605698,1.47321345013931,0.700816741735496,0.683305872793796,0.938010798374928,0.661342327036965,-0.157902562438919,0.0787778058391512
"CAALFM_C303620CA",0.0646697118607703,-0.0216644716343406,-0.0236774173715744,0.0874721625365551,0.0403934363488186,0.0638310712877856,0.0733468372422968,-0.022825910063229,-0.00470054092146202
"ECM18",0.361623596503528,0.391490690983601,0.239486199718619,0.760214568097213,0.445778697466988,0.424577699760383,-0.347534548338266,0.252426856992757,0.173206265490432
"DAL9",0.608670503853378,1.53467076679192,0.587830352772408,2.09902597578651,-0.191312577934098,0.843047432154788,-0.120745197950704,1.62986956848464,-0.0779485104606353
"HBR3",-1.03829554964685,-0.92727313422477,-2.26219602138051,-2.35362261478619,-1.0124841651574,-1.46534799984224,-2.57741089262256,-1.11465104301783,-0.340714796980111
"IRS4",0.532081771429855,-0.519631591645375,0.438202432779059,-1.23910232129475,0.378860164877968,-0.318686039123045,0.365978647076565,-1.05104028356837,-0.609118425116549
"CAALFM_C303670WA",-0.556789717460852,0.464269552279219,-0.190175470359683,0.38611986333132,0.0140917192074225,0.237800793504033,-0.187954997826138,-0.0328114886833687,0.313850310611378
