"","condition_YL3_vs_ctl"
"CAALFM_C104700CA",0.174612840881011
"CAALFM_C104710CA",-0.538293257565618
"CAALFM_C104720WA",-0.149367156466704
"LYS21",-0.320697506546367
"LPG20",3.9031045265619
"IFE1",-0.814679318130867
"SYG1",-0.350478176409389
"ERG3",-0.455518828596012
"CAALFM_C104780CA",0.0820321808246679
"CAALFM_C104790WA",-0.12287805558383
"CAALFM_C104800CA",-0.415133571498884
"TCO89",0.35418981268064
"CAALFM_C104820CA",-0.0647545128984017
"SEC21",-0.28953843254763
"CAALFM_C104840CA",-0.371004210971714
"CAALFM_C104850CA",-0.734972498469396
"CAALFM_C104860WA",0.852183930153521
"SAP7",-0.39196511622855
"MRPL37",0.0838018285227375
"YBN5",-0.226643894997667
"MNN15",-0.227166755386784
"CAALFM_C104910CA",0.986515072223512
"CAALFM_C104930CA",0.517900302522304
"CAALFM_C104940CA",-3.57793203045088
"RPM2",-0.18490158109201
"CAALFM_C104960CA",0.455832718358665
"CAALFM_C104970WA",-0.0752858579857046
"CAALFM_C104980CA",-0.0708851678401863
"CAALFM_C104990CA",0.559574604645835
"RHD1",-0.942171573346769
"CAALFM_C105010CA",0.230255053740397
"ARG2",1.1858753569421
"PSF2",-0.781144894832061
"RRP6",-1.033602691707
"REI1",-0.954189941359468
"GPI7",0.886914476030122
"GPT1",-0.548710198770292
"TRY2",-0.495190302825014
"CAALFM_C105100WA",-0.706022991799734
"ARO4",-0.23389370866388
"CAALFM_C105120WA",-0.201672845249703
"BRG1",-1.51953053726383
"CAALFM_C105150CA",0.113803590326316
"CAALFM_C105160CA",4.87628180091508
"CUE5",2.49713514352602
"CAALFM_C105180CA",0.439402502849403
"CAALFM_C105190CA",0.628831308850233
"CAALFM_C105200CA",-0.127805429888719
"CAALFM_C105210CA",-0.0768321478597556
"CAALFM_C105220CA",-1.35766211717449
"CAALFM_C105230WA",0.415355415149754
"RPT1",-0.388919981947903
"CAALFM_C105250WA",NA
"SDH1",0.45336784156886
"CAALFM_C105270CA",-0.152138412381284
"CAALFM_C105280WA",0.298686774116989
"GRS1",-0.295089187209513
"PRD1",3.08014992602608
"tP(UGG)1",0.381961980830424
"CAALFM_C105320CA",-0.504788310195808
"CAALFM_C105330CA",-0.541782668734452
"ZCF2",-0.605314048609728
"YPT53",-0.206185139654289
"CAALFM_C105360CA",-0.857657530147863
"CAALFM_C105370CA",0.140130333422681
"CAALFM_C105380CA",-1.44906262907735
"CAALFM_C105390CA",-0.148410694661623
"CAALFM_C105400CA",0.1447262915214
"TRP99",2.89094657105524
"CAALFM_C105420WA",0.416991366061285
"SPT20",0.0219201890529733
"CAALFM_C105440CA",0.132907655761616
"CAALFM_C105450WA",NA
"KOG1",-0.121536856298288
"MTM1",-0.674695112473739
"CAALFM_C105480CA",-0.583431911494724
"CAALFM_C105490CA",0.611385693406979
"RSM22",-0.787864500539356
"RPS27A",0.105592473865479
"CAALFM_C105520WA",-0.623136958171198
"SSH1",0.105389385943121
"CAALFM_C105540CA",-0.293681244422776
"CAALFM_C105550CA",-0.068882372065433
"RIB4",3.5562024423932
"tN(GUU)2",-0.021239074740192
"tN(GUU)1",2.16827964973343
"tT(AGU)1",0.0324729303311133
"GSL1",0.132688864612059
"CAALFM_C105610WA",0.31620193502045
"STE3",-0.482459080209523
"CAALFM_C105630CA",-1.23963662526714
"FAL1",-0.981180480431601
"CAALFM_C105650WA",-0.533552884058895
"CAALFM_C105660CA",-0.295621334623089
"CAALFM_C105670WA",2.10921662802701
"RIM1",1.51044755455267
"CAALFM_C105690CA",-0.333361503754463
"AUT7",2.44943965299503
"UGA4",0.605134098245735
