"","condition_LS3_vs_ctl"
"PHO85",0.578057357563449
"CAALFM_C104530CA",-0.462687096720944
"VPS16",0.954866904297414
"ELC1",0.218625967548633
"CAALFM_C104560WA",2.46242759499854
"CHL4",-0.559904341150066
"CAALFM_C104580CA",0.137317694978999
"CAALFM_C104590WA",-0.201670574780503
"CAALFM_C104600CA",-0.635906326942562
"ATP1",0.223240085361355
"CAALFM_C104620WA",-0.381600120454359
"CAALFM_C104630CA",-0.435067111720915
"CAALFM_C104640WA",3.07707602138809
"DUR3",0.0719381709726214
"DUR1%2C2",-0.316373938022601
"HAT1",-0.0286431983080387
"PIL1",3.1281723459163
"CAALFM_C104690CA",-1.11291309598759
"CAALFM_C104700CA",0.955885154222497
"CAALFM_C104710CA",-0.23838833800114
"CAALFM_C104720WA",0.195270680323854
"LYS21",0.0135067923901181
"LPG20",4.71187801052068
"IFE1",0.150537092382338
"SYG1",0.076713720033435
"ERG3",-0.629322349287629
"CAALFM_C104780CA",0.264826909466827
"CAALFM_C104790WA",-0.202853672119499
"CAALFM_C104800CA",0.939681179660968
"TCO89",0.171006889757624
"CAALFM_C104820CA",-0.592398009367592
"SEC21",-0.293514030263496
"CAALFM_C104840CA",-0.550641904705572
"CAALFM_C104850CA",-0.53226570390789
"CAALFM_C104860WA",0.663469636213153
"SAP7",0.0659448329534473
"MRPL37",-0.219129994819177
"YBN5",-0.694358213506417
"MNN15",0.683380418492653
"CAALFM_C104910CA",1.36035277964964
"CAALFM_C104930CA",3.00320455765677
"CAALFM_C104940CA",-1.17020541150855
"RPM2",-0.0297114502055544
"CAALFM_C104960CA",0.403326487303584
"CAALFM_C104970WA",-0.40851063350995
"CAALFM_C104980CA",-0.211854569833442
"CAALFM_C104990CA",0.57173739318838
"RHD1",-1.35490017920177
"CAALFM_C105010CA",0.518323148151485
"ARG2",1.17394175262292
"PSF2",-0.861435175797223
"RRP6",-0.612116186537178
"REI1",-0.632749249943104
"GPI7",0.776238246016819
"GPT1",0.131366392784174
"TRY2",-0.268223287418894
"CAALFM_C105100WA",-0.97285641777643
"ARO4",-0.392104288392125
"CAALFM_C105120WA",0.262873843010266
"BRG1",2.51716415087572
"CAALFM_C105150CA",0.440245758602051
"CAALFM_C105160CA",6.42708978419224
"CUE5",2.31464190284204
"CAALFM_C105180CA",0.0720328467521399
"CAALFM_C105190CA",-0.112229570141996
"CAALFM_C105200CA",-0.354818887307858
"CAALFM_C105210CA",-0.477520013579762
"CAALFM_C105220CA",-0.846718593649526
"CAALFM_C105230WA",-0.46270864171773
"RPT1",-0.550637133331279
"CAALFM_C105250WA",NA
"SDH1",0.388838325569024
"CAALFM_C105270CA",-0.483765318716524
"CAALFM_C105280WA",0.35270620344402
"GRS1",-0.234085310523851
"PRD1",4.18653253379341
"tP(UGG)1",0.585053337406622
"CAALFM_C105320CA",-0.330792531525778
"CAALFM_C105330CA",-0.90480458140405
"ZCF2",-0.511476468248808
"YPT53",-0.305284353085401
"CAALFM_C105360CA",-0.478133497662436
"CAALFM_C105370CA",0.396647575709836
"CAALFM_C105380CA",-1.2729247159267
"CAALFM_C105390CA",-0.329214308438092
"CAALFM_C105400CA",-0.0399487127172665
"TRP99",2.57349947166743
"CAALFM_C105420WA",-0.0741160253442938
"SPT20",-0.296172661672613
"CAALFM_C105440CA",0.873504469700522
"CAALFM_C105450WA",NA
"KOG1",-0.0827348904241708
"MTM1",-1.04200765929722
"CAALFM_C105480CA",-0.847525664642496
"CAALFM_C105490CA",0.267444551924046
"RSM22",-0.646568732301697
"RPS27A",-0.000564129890034204
"CAALFM_C105520WA",0.535242023526419
"SSH1",-0.206156893711372
"CAALFM_C105540CA",-0.242301040886234
"CAALFM_C105550CA",0.273842002313919
"RIB4",3.72501089596514
"tN(GUU)2",0.0759944652496488
"tN(GUU)1",1.76462809499697
"tT(AGU)1",-0.024694437600494
"GSL1",0.30038661277919
"CAALFM_C105610WA",0.616893965423191
"STE3",-0.829812266870516
"CAALFM_C105630CA",-1.22285652944754
"FAL1",-0.669724976345527
"CAALFM_C105650WA",-0.156511399444755
"CAALFM_C105660CA",-0.292168093976718
"CAALFM_C105670WA",1.72415694933911
"RIM1",0.916813274354889
"CAALFM_C105690CA",0.745084272022468
"AUT7",2.72228217885441
"UGA4",1.53413402994935
"CAALFM_C105720WA",-0.767860085750191
"CAALFM_C105730WA",-1.32841711920477
