"","condition_FL3_vs_ctl","condition_FL30_vs_ctl","condition_FS3_vs_ctl","condition_FS30_vs_ctl","condition_LL3_vs_ctl","condition_LL30_vs_ctl","condition_LS3_vs_ctl","condition_LS30_vs_ctl","condition_RL3_vs_ctl","condition_RL30_vs_ctl","condition_RS3_vs_ctl","condition_RS30_vs_ctl","condition_SL3_vs_ctl","condition_SL30_vs_ctl","condition_SS3_vs_ctl","condition_SS30_vs_ctl","condition_YL3_vs_ctl","condition_YS3_vs_ctl","condition_YS30_vs_ctl"
"CAALFM_C406640CA",-1.02571662949379,1.7826680964091,-1.08818836453127,-0.477824229678842,-0.162005084321147,0.432033642181643,-0.445469343890498,-0.303743046050764,-0.329721608035351,-0.0678513932902001,-0.265332766102896,0.0690566829481701,-1.08351445481779,-0.615605071140343,-1.043131379854,-0.0125756387718189,-0.608816950606091,-0.593587979935571,-0.0559884855671175
"CAALFM_C406650WA",0.718222960489675,0.587674845194208,0.349138629519347,0.869610169330873,0.879846221223857,0.869386971944679,0.286396419116864,1.53195932267061,0.643088323973898,0.619598740817491,0.422568466086868,0.670923214532917,0.734101354320802,1.04763934984295,0.624989980144019,0.930859157163572,0.432394723459494,0.572172844145503,0.748857153001021
"CAALFM_C406660WA",-0.168672857506852,0.105218985147948,-0.17201704518429,0.113965987452256,-0.17305487513114,-0.196674353718717,-0.132605428233237,-0.0483918216515361,0.0746361489051959,0.0199572555472088,-0.134063887132196,0.130802007615162,-0.1734973607422,-0.0664992884602246,-0.00704196224551761,0.0966211602596475,-0.10496978719211,-0.103085669715213,-0.00811093727350923
"CAALFM_C406670WA",1.24023833097484,0.945836368311162,1.40163562421118,3.79882936184978,1.84686922743997,2.74601102454793,1.31144590496033,2.58837004442816,1.43374861111825,1.39431666048129,1.08519147936646,1.39921035513304,1.25659788262958,1.20236829484912,0.997611237000032,0.604908251859744,1.53798063013962,1.51507914451637,-0.145358588890959
"CAALFM_C406680CA",-1.10926186206217,-0.716980964654544,-1.02628777402128,-1.66931421279543,-1.39018097271806,-1.23009428445913,-0.958398282028803,-2.46224104989178,-1.07073010099699,-0.548017608837553,-0.972226108014056,-1.16087557674863,-1.14949116912431,-0.828156064420959,-0.966692745711445,-0.887969969108663,-0.694634975382876,-0.68567325333813,-0.721369164504625
"CAALFM_C406690CA",0.119358376143236,0.380851157361136,-0.120957383755566,0.438977249384926,0.167893429197008,0.95099972613216,-0.13201736189105,0.377258120654472,0.238720646697804,0.141665309326082,-0.115095967566655,0.164860764789272,0.195250320163542,0.411511498352907,-0.0563975823931017,0.243032740136926,0.0241503671450992,-0.132648133509004,0.0668651683333199
"CAALFM_C406710WA",-0.0170994249587015,1.23313757897942,-0.481556838834512,-2.03966137524967,-0.835050144610897,-0.960161531978914,0.015329175941354,-1.49878047323815,-0.608442276560786,-0.863931983274355,-0.0336645241624419,-1.19276507824098,-0.448679825960303,-1.81499786186536,-0.439675404792334,-1.94408772523356,-0.237267146065477,-0.0780051338189768,-0.643599581641633
"NOP1",-1.06747098459319,-1.08429789402764,-0.561139600939823,-0.812409798227023,-2.09554717185456,-1.87938572800181,-0.649026828889943,-2.52842870243498,-1.14079855195256,-0.96791498631462,-0.611324139360876,-1.29527950470295,-1.15631230334909,-2.1865155242725,-0.835799269337256,-1.01913452418156,-0.301470587928616,-0.415771117522862,-0.216317488876368
"CAALFM_C406730CA",0.509351441789357,1.31256352626808,0.364760992227704,0.315624479975504,1.03736463241945,0.975400102355681,0.112243461499124,1.51486834491854,0.500627242736434,0.540348943223067,0.102002280447225,0.213313166446311,0.597139120712365,1.42878622303576,0.354488835474856,1.35718121310373,0.0522482875324348,0.163701863041112,-0.332344565411688
"CAALFM_C406740CA",1.33105146646778,0.712384347211508,1.34040506267748,1.27424242163817,1.59440350088077,1.38409707693912,0.995125778559245,2.02087197598566,1.52246236190544,1.18822536299576,1.11135926442078,1.4622148022841,1.31554546995855,1.49871810657731,1.2516410057393,1.38919917803944,0.886695586580371,0.953489455702429,0.755819590188981
"GUT2",0.102731527816634,0.58618832451225,0.0321405577567861,0.0398624564983698,-0.337473044529407,0.0630251258314406,-0.320765257967908,-0.514531032005658,-0.103521291953447,0.241572017829236,-0.246309719125883,-0.130503322610356,0.37566674992786,1.67577006971603,0.828029655499742,1.53151271786139,-0.295532100421913,-0.113334616886451,-0.244764096385796
"CAALFM_C406770WA",-0.364791343449769,1.07685090727673,-0.0727165134685582,0.1318853989173,-0.252157047190284,0.453040141368484,-0.348462620110325,0.124456990484989,-0.10311570187942,0.131513482134293,-0.458382120909898,-0.236276327480033,-0.340822656885711,0.697186790561362,-0.384735379942978,0.293656019439734,-0.567442971184458,-0.308500445080054,0.0814949895238723
"OYE32",1.43300962468883,4.17907726508458,0.363476239457215,-0.889367670345659,1.12049328134326,2.28086913123619,-0.477658113109123,0.925503052672474,-0.000488800638394065,0.275126245358764,-0.290074526957026,0.224125950850585,0.199257139025308,0.825686713210641,-0.354359743389731,-1.26992833256025,-0.89530202321386,-2.61726428862311,-0.589629740357851
"CAALFM_C406790WA",-1.28887665031224,0.0956131920265239,-0.795340788943798,-1.39395307090618,-1.93522542262188,-1.09167734977057,-0.929859898353926,-2.86441039754432,-1.57038979446249,-0.903323917709849,-0.890503245888158,-1.83136715621968,-1.54424986638584,-1.51448904540967,-1.16665302329914,-1.81790013281888,-0.874434987521178,-0.928351908168681,-0.894998393253744
"CAALFM_C406800WA",-0.937553160698303,-0.181052622090082,-0.632838242906321,-1.12859934173858,-1.14980211188959,-0.913482944216093,-0.785255428574692,-2.04509583097146,-0.849499367427891,-0.583388728696878,-0.744344085894576,-1.25340030008476,-0.969188659899452,-1.05652027081623,-0.873262899655574,-1.0733110827401,-0.680591041598605,-0.78169897646426,-0.472999917950237
"CAALFM_C406810CA",0.0641066732656472,0.875453092282894,-0.160590833703577,0.371166883895124,0.151125461443941,0.931563308300761,0.171440568597058,0.488505107803419,0.204583385903589,0.590318878760572,0.157573609190154,0.137312358837823,0.224445697579213,1.13281740186503,0.0750843321368342,0.271760675347477,0.0175929503407821,0.0726240190305693,0.344240677472731
"CZF1",0.188545172337422,0.871375106371474,0.864162458276453,1.60213365954826,0.049205938514176,0.777340754919739,0.242375995246025,0.580114905201026,1.00523504820289,1.41844396264028,0.848544029290961,1.28099834675925,0.163949446829476,0.484264986290701,-0.264772304765249,0.103330493000588,0.13567676231761,0.548323545725885,0.274189677955323
"CCT6",-1.11916254662952,-0.777075058699364,-1.18128747181117,-1.28183305966767,-1.47624906340295,-0.989812634787613,-1.05227406003847,-2.0468111212711,-1.00426337530943,-0.551121482782731,-1.00272066940472,-1.05970020321169,-1.11397898565593,-0.904095098405425,-1.20317308836007,-0.986841907759753,-0.561962541813207,-0.759718563392732,-0.318452976779548
"CAALFM_C406840WA",-0.212666077964219,-0.394777647131829,-0.121642574897521,-0.190458200171871,-0.378242020839263,-0.472339840716276,0.0468308333717236,-0.167863046718353,-0.199089975439967,-0.478093092787285,-0.0658855705841104,-0.292690629918839,-0.253084517850059,-0.782844481165002,-0.151004657154926,-0.64477523923769,0.149253083133828,0.0664838290099935,0.226396097773527
"CAALFM_C406850CA",-1.38844618793754,-0.638752039746818,-0.946338928238606,-0.725661330097259,-1.87451343530294,-1.79516612839006,-0.946971586164976,-2.06669357501115,-1.28958500458385,-1.11719798256188,-0.931635009957508,-1.13499616391635,-1.46676117744442,-2.0372842994522,-1.15858770694737,-1.1162788713791,-0.813399577943965,-0.663890924654669,-0.262135700512139
"CAALFM_C406860CA",1.19979818748731,0.976342233723648,1.09726708189177,0.511369175203757,0.948408706635782,1.61812736605359,1.10861271747332,0.328858288565998,1.21793835269159,1.1833509256285,1.06447248231086,0.995578932410686,1.108726384596,1.70264805063976,1.04123967624659,0.486199273947928,0.984762357726105,0.952754244934402,-0.305167716147327
"RPT5",-0.115551592009798,0.455791323933098,-0.174370265281419,0.766355472135438,0.0250698210390557,0.918812217869292,0.0681895605167275,0.771203020568655,0.0323430663347241,0.193659725975556,0.00439173197397293,0.370686568675108,0.0400548131949453,0.605066808212661,-0.0160206531430037,0.390902317059439,-0.016802271982144,0.0695639532436453,0.18799675088822
"CAALFM_C406880CA",0.0756087291574269,0.635546838560655,-0.0620868044632505,0.835814154101661,0.151859184281852,1.15423707799839,-0.108001619474076,1.76992149268002,0.275010760107135,0.315311361190893,-0.0891720087248781,0.492094373504433,0.0388431300081454,0.257108006503603,-0.295394859560635,0.298828091164645,0.267975928235513,-0.117628973392258,0.493061341817117
"ARR3",-0.987151460191893,2.13637624422608,-1.70264850245957,-0.207469609511668,-2.10531080892278,0.244789579451907,-2.11492918117563,-0.566946576739751,-2.65339784017371,-0.858361733748398,-2.83055314976328,-1.36670114160062,-2.96324879750469,-0.636950787757555,-3.53315101223364,-2.49511147609781,-2.5322382434179,-2.95578455165882,-1.08871884507439
"GST1",-0.0271939604061226,3.56837079121514,-2.32024574863593,-1.18386702469923,-1.47590517809397,0.708083338191587,-2.13128221297104,0.460924258081459,-0.989411658042642,-0.342434405633773,-0.948221892427665,-0.270904341631712,-1.43788532428964,-0.541910332691841,-3.99540649568823,-4.67687187471173,-0.570568795483591,-2.7382980750985,-0.597651876678313
"CAALFM_C406910WA",-2.46853254681634,0.429297080526368,-3.83731245660164,-3.0802013958641,-5.5602782727019,-2.58030927275907,-4.62290650190226,-1.96842756116247,-3.7420692968858,-2.60974423637588,-3.77260336824303,-2.17837081170926,-3.14872581148999,-4.00559092456015,-4.21523827714104,-0.134737635641948,-2.39917217537485,-1.89912452854649,0.249743025184251
"CSA2",0.0831694392422839,1.77178744478968,3.32102582006568,-1.02373905994813,5.40677790161268,0.266741626394192,-0.360919019403522,-1.07430575166766,7.19409582791095,-0.0741511582366131,-0.30471913035172,-0.922705196437508,0.272386756130612,-0.141758677278882,-0.527084244098254,-0.548686403332001,-0.496716074945116,-0.840677974565511,-0.182425482124346
"EXM2",-0.287845605811017,-0.232422045871167,-0.401509707304019,-0.343900593899347,-0.258813221495759,-0.457695990706307,-0.284496067253084,-0.00941200099270026,-0.357118706764605,-0.500797539925449,-0.450272099694077,-0.408424177093958,-0.344466247133479,-0.396445932204859,-0.229021785377415,-0.452357729185935,-0.4838707045613,-0.202103479373683,-0.316970120918155
"CAALFM_C406940CA",-0.217544292676475,-0.328976918642573,1.12092122857653,1.82417684602415,0.126145474376241,0.565299811078114,0.677698053703509,1.42395181908118,-0.124571160164147,-0.10687210308072,0.430166595794395,0.160157483623293,-0.127889291059641,-0.469715388383509,0.412731116660539,0.0460712922168308,0.015981192841063,1.00124179427406,-0.0101204542145272
"CAALFM_C406950WA",-1.01759187843028,-0.937132912709912,-0.0399444889745975,-0.0404764612959939,-1.05710525909783,-0.70778123760874,-0.392395987557961,-0.908519746246757,-1.13580762002925,-0.579627575049949,-0.507426170658916,-0.921205760272283,-1.01387793854806,-1.43340841872932,-0.809903025091851,-1.28959119514192,-0.872592969896915,-0.202844149468713,-0.64728493125724
"CAALFM_C406960WA",-0.663469501661507,-0.866918876485789,-0.0365468357339047,-0.116798112023826,-0.498204023036136,-0.0442375668731378,-0.230588267520928,-1.14756004892848,-0.487661904482877,-0.590319810803475,-0.450260586082475,-1.12621773417012,-0.613638072202343,-1.36779065138442,-0.820545442699951,-1.39676625988908,-0.387942431432385,-0.125725985572874,-0.794129744856295
"ZRT1",0.289574458316284,1.94585152283159,0.28730852924962,0.616417760781888,0.131029103923254,1.06876481858614,0.397493594862462,0.335333777302192,6.67415291973839,-0.35164187143841,0.246082159736758,0.339243987579813,0.293041528367535,-0.504208614492961,0.0700503373467938,-0.0316499015859047,-0.0791445328548315,-0.180553769831292,-0.0164039985689754
"PRA1",0.871579821680319,1.2710260257773,0.197470810657367,0.587262658985959,1.12858085882484,0.794077755533227,0.856239099754451,1.08876892259273,7.74876417432379,-0.00114805675529509,0.364975965450047,0.713795059162127,0.674476814594535,0.0271089283972833,-0.638798148577513,0.32873486423645,-0.0426282453375923,0.1295442709675,-0.0556059047495101
"CAALFM_C406990WA",0.445027309030263,0.379962494305381,-0.5682959539458,-0.244352269268518,0.942826892263762,0.560284220063332,-0.194542696701515,-0.0984682699846759,0.612265944238345,0.339372676754201,0.250583595276335,0.389891327411827,0.415617700334693,0.350139377149741,-0.699376428707004,0.118431981301633,-0.316372082852334,-0.221554303845958,-0.337839570073605
