"","FL.log2FoldChange","FS.log2FoldChange","LL.log2FoldChange","LS.log2FoldChange","RL.log2FoldChange","RS.log2FoldChange","SL.log2FoldChange","SS.log2FoldChange","YS.log2FoldChange"
"CAALFM_C305150WA",-0.601650724933699,-0.0859354502629661,-1.17342538470281,-0.491307238811431,-0.500094238386016,-0.209399324337449,-0.576308842420375,-0.485305438490316,-0.139653962788074
"CAALFM_C305160CA",-0.739094644392491,0.0403211221978932,-1.85046783724507,-0.104477911776018,-0.999359887623714,-0.0109032619179519,-0.716823473853861,-0.200864197926098,0.00620474113513425
"WOR2",-0.349758850490195,-0.125149685138701,-1.10173882940879,0.253930510587871,0.138086768928021,0.190171970012458,0.0396210330065203,0.188746584022271,-0.0344557369886662
"RHB1",-0.293021076086079,0.333752576652708,-0.506839188162649,0.0249988623668276,-0.225315758512762,0.152113578846409,-0.149736257959375,0.118071589675079,0.0893533073433179
"MCA1",0.402953799579216,0.475786324022344,0.571783547569926,0.609692898577861,0.601843223591434,0.415014200463886,0.285939437549295,-0.00553811774585927,0.0407113162275534
"RPS19A",-0.687515054771272,-0.627721987610029,-1.34670513363557,-0.20466654474463,-0.52078518501392,-0.206879740711623,-0.60709582122902,-0.367635331244745,0.00316131913472758
"DYN1",0.595457272521479,-0.0255709965289524,0.731170975120683,0.460785424139301,0.564411028546873,0.206979469564221,0.55826652022624,0.297977447934197,0.0313809481507065
"CDR1",0.907815347989591,1.29216647859959,0.599289672570628,1.20323428545223,0.562511543423599,0.738331406872007,1.00885961557952,0.727683734077963,0.670757102407573
"SAP3",0.232271057791386,0.585182305885124,0.0331405937739468,0.140547849540621,0.0306244523494872,0.149062322891502,0.48851286491769,0.380814766303939,0.00280799048363787
"RPL8B",-0.801495789955578,-0.710624895274376,-1.61792488000779,-0.187215164599563,-0.647457403988802,-0.159796617628954,-0.661396317265806,-0.418046006807614,0.00548110834676144
