"","condition_RL30_vs_ctl"
"CAALFM_C104370CA",-0.771079094953944
"SIT4",-0.140150503415733
"NOP4",0.0834178738064193
"APE2",-2.13782928562253
"ESS1",0.0472474883304009
"URA6",-0.200630750440316
"CAALFM_C104430CA",0.181887758837085
"CAALFM_C104440WA",NA
"FMA1",-6.43086583264435
"CAALFM_C104460CA",-0.474435645602205
"CAALFM_C104470CA",1.71077447700727
"TUS1",0.692342061121917
"CAALFM_C104490WA",-0.563077048910205
"ICL1",0.0264543810478214
"CAALFM_C104510WA",-0.0300483116149084
"PHO85",0.546972461993926
"CAALFM_C104530CA",0.384422523459853
"VPS16",-0.244161474689813
"ELC1",-0.268276170100132
"CAALFM_C104560WA",-0.233787459549383
"CHL4",-0.150121132811079
"CAALFM_C104580CA",0.584579328878367
"CAALFM_C104590WA",0.908716596349117
"CAALFM_C104600CA",-0.628475049347553
"ATP1",-1.09768776445367
"CAALFM_C104620WA",0.765308319871792
"CAALFM_C104630CA",0.87610098336054
"CAALFM_C104640WA",-0.702523567008981
"DUR3",0.43098452886077
"DUR1%2C2",0.0438966091991383
"HAT1",0.0564645727247536
"PIL1",-0.432908239806813
"CAALFM_C104690CA",0.188858265314096
"CAALFM_C104700CA",0.123555834885152
"CAALFM_C104710CA",-0.136457716645675
"CAALFM_C104720WA",0.259712588128665
"LYS21",0.123124866681639
"LPG20",-0.907501807467176
"IFE1",0.29271817632025
"SYG1",0.395888050371594
"ERG3",0.122034152056331
"CAALFM_C104780CA",0.681123229131408
"CAALFM_C104790WA",-0.0167998822053405
"CAALFM_C104800CA",1.43091368037716
"TCO89",0.355022635610936
"CAALFM_C104820CA",-0.376727569422724
"SEC21",0.949117791567287
"CAALFM_C104840CA",0.817928421436128
"CAALFM_C104850CA",1.14498806712195
"CAALFM_C104860WA",0.297788847714773
"SAP7",-0.0906432230082308
"MRPL37",-0.69818117720022
"YBN5",-0.238591790700964
"MNN15",0.233910581369385
"CAALFM_C104910CA",-0.277231709699834
"CAALFM_C104930CA",3.17729594957151
"CAALFM_C104940CA",3.69229113042291
"RPM2",-0.20558913100651
"CAALFM_C104960CA",-0.137921164649583
"CAALFM_C104970WA",-0.720728402297367
"CAALFM_C104980CA",0.0268069629286746
"CAALFM_C104990CA",-0.844364201457891
"RHD1",-3.58615642638278
"CAALFM_C105010CA",-0.0557595562947517
"ARG2",-0.550785294018117
"PSF2",0.801862029324317
"RRP6",-0.0558000856428595
"REI1",-0.137669563461844
"GPI7",-0.447813174342714
"GPT1",0.357298423995021
"TRY2",0.0493287869977825
"CAALFM_C105100WA",0.227596283169083
"ARO4",-0.118010443063145
"CAALFM_C105120WA",0.217090331920006
"BRG1",5.00051698305714
"CAALFM_C105150CA",1.00508196398435
"CAALFM_C105160CA",-1.65920606302487
"CUE5",-0.293499860905724
"CAALFM_C105180CA",-0.608277804576777
"CAALFM_C105190CA",-0.909105794144719
"CAALFM_C105200CA",-0.0709586347330624
"CAALFM_C105210CA",-0.660745352732753
"CAALFM_C105220CA",0.395841668520268
"CAALFM_C105230WA",-1.37959228795458
"RPT1",0.37394775588919
"CAALFM_C105250WA",NA
"SDH1",-0.177134235738573
"CAALFM_C105270CA",-0.439031288904631
"CAALFM_C105280WA",0.109115159715263
"GRS1",-0.10419118902921
"PRD1",0.493780473725372
"tP(UGG)1",-0.0734973784067976
"CAALFM_C105320CA",1.29507492663415
"CAALFM_C105330CA",0.229660833111986
"ZCF2",0.162823738661428
"YPT53",0.354960574683637
"CAALFM_C105360CA",0.127987048796592
"CAALFM_C105370CA",-0.141609361272026
"CAALFM_C105380CA",0.271494731147348
"CAALFM_C105390CA",0.0701415333385415
"CAALFM_C105400CA",0.0936746643562638
"TRP99",-1.00347718198746
"CAALFM_C105420WA",-0.406098483012128
"SPT20",0.0368615739641375
"CAALFM_C105440CA",0.51932479177929
"CAALFM_C105450WA",NA
"KOG1",0.68459088892991
"MTM1",-0.290036090324203
"CAALFM_C105480CA",0.293489933230729
"CAALFM_C105490CA",-0.121659838526151
"RSM22",-0.374232046011985
"RPS27A",0.461362063362583
"CAALFM_C105520WA",0.257798817752973
"SSH1",-0.175871732783381
"CAALFM_C105540CA",0.692050960801218
"CAALFM_C105550CA",0.0593928927460652
"RIB4",-0.299132486705546
"tN(GUU)2",0.0372492573626097
"tN(GUU)1",-1.52821881580065
"tT(AGU)1",-0.0122578763220093
"GSL1",0.65279055987135
"CAALFM_C105610WA",-0.129980713735011
"STE3",-0.124459285374901
"CAALFM_C105630CA",0.106536969514366
"FAL1",0.0350018831817356
"CAALFM_C105650WA",-0.0788696133399592
"CAALFM_C105660CA",-0.158802696686435
"CAALFM_C105670WA",-0.859891616073956
"RIM1",-1.12821934861068
"CAALFM_C105690CA",0.510654777031825
"AUT7",-0.134244764246897
"UGA4",-0.0936414911060518
"CAALFM_C105720WA",-0.418286176211815
"CAALFM_C105730WA",-0.34820036630751
"CAALFM_C105740CA",0.139206244525872
"CAALFM_C105750CA",0.387066554129341
"PGA26",-2.97720427826769
"PRC3",-0.30644470063208
"CAALFM_C105780WA",0.327172246193962
"CAALFM_C105790WA",-1.04542411597761
"CAALFM_C105800CA",-0.0112240520870281
"GIM5",-0.252241970533774
"RAD10",-0.0474455061515399
"CAALFM_C105830WA",-0.789358351777438
"PRN1",-0.716611829131333
"POL32",-0.47910029563097
"PRN2",0.665305405013406
"PRN3",1.21057516012656
"PRN4",0.285068663640356
"CAALFM_C105890WA",0.276074826030093
"CAALFM_C105900WA",1.36688273887944
"SIP5",0.388614111831853
"CAALFM_C105920WA",5.16779199742695
"CAALFM_C105930CA",-0.575322900771574
"PHO87",-1.96752498330061
"CAALFM_C105950CA",0.0980200893785917
"PGA45",-0.72103905230886
"CAALFM_C105970WA",1.22035849434087
"CAALFM_C105980WA",0.658774979162747
"CAALFM_C105990CA",-2.95335686029443
"CAALFM_C106000WA",0.0617159703354743
"CHS7",0.69120205232202
"RGD1",0.564542038950436
"CAALFM_C106030CA",-0.0255137832560517
"RTT101",-0.0434120805640965
"CAALFM_C106050CA",-0.441059832652699
"ACP1",-0.386267336552381
"CAALFM_C106070WA",-1.2937686748344
"ARC35",-0.411871579990274
"CAALFM_C106090CA",0.0359862975907236
"MSI3",-0.269152256883076
"NPL4",-0.191216606424636
"CAALFM_C106120CA",0.251458924319686
"HAC1",4.41979882903426
"CAALFM_C106150WA",2.68066539680632
"CAALFM_C106160WA",2.72764329480898
"TLO34",-0.0280366441872394
"CAALFM_C106190CA",NA
"CAALFM_C106200WA",0.258498280935731
"BUD16",0.0611896380401277
"CAALFM_C106220CA",0.575123799025268
"MDM34",-0.0438123815100523
"CAALFM_C106250WA",-0.85536867466605
"PGA50",-0.554808619399638
"CAALFM_C106270WA",-0.0250676952862443
"UME6",6.2551240384385
"CAALFM_C106300WA",-0.868823886881726
"CAALFM_C106310WA",-0.953130627866311
"CAALFM_C106320WA",0.401481160973827
"CAALFM_C106340WA",6.74867702505167
"CAALFM_C106350WA",0.425452040226817
"CAALFM_C106360WA",0.284861646541194
"PBR1",7.61770819109394
"CAALFM_C106380CA",0.121381386512895
"CAALFM_C106390WA",-0.58875691987432
"CAALFM_C106400CA",0.0399968705946572
"CAALFM_C106410WA",0.221368545472572
"CAALFM_C106420CA",0.571914683131689
"CAALFM_C106430CA",1.6512543227249
"CAALFM_C106440CA",-0.667430428748078
"RPS14B",-0.218728486820591
"RPS22A",-0.100161253640261
"CAALFM_C106470WA",-1.15895258947545
"CAALFM_C106480CA",0.783187084573149
"CAALFM_C106490CA",-2.2478854561713
"CAALFM_C106500WA",-0.475322206987387
"CAALFM_C106510CA",-0.18481693902588
"BPH1",-1.55282848201737
"CAALFM_C106530CA",-0.120832777122249
"CAALFM_C106540CA",-0.202840707188467
"GLT1",0.380229397986162
"CAALFM_C106560WA",-0.163690774379982
"ANT1",-0.834673046039763
"RPS23A",-0.408339896553443
"CAALFM_C106590CA",-0.106664744289124
"CAALFM_C106600WA",0.326904863632803
"HAK1",0.539614904717361
"CAALFM_C106620CA",0.300328648781008
"CAALFM_C106630WA",-0.0809370351729847
"CAALFM_C106640CA",-0.569210337469955
"CAALFM_C106650WA",-0.364887758436589
"CAALFM_C106660WA",0.717702154149511
"CAALFM_C106670WA",1.01566213504977
"VPS34",-0.0733095782745318
"CYK3",0.167626780372264
"CAALFM_C106700WA",-0.135543520288883
"CAALFM_C106710WA",-0.0395437981854638
"CAALFM_C106720CA",-1.4119657336265
"RAC1",1.62043781720096
"NOP6",-0.549127902538296
"CAALFM_C106750WA",-0.0153396277559678
"CAALFM_C106760CA",-0.0502699096265531
"CAALFM_C106770WA",0.0249911254479967
"NPR1",0.120343691270328
"MRPL19",-1.15727216806185
"CAALFM_C106800WA",-0.155390103998365
"CAT1",0.697010468094836
"CAALFM_C106820WA",0.274537984052914
"CAALFM_C106830WA",-1.22886958346558
"CAALFM_C106840CA",-0.295671946536192
"PCL7",-0.0781244520976009
"CAALFM_C106860WA",0.533907688840473
"CAALFM_C106870CA",-3.90401661976355
"SPO22",-0.490614526345956
"CAALFM_C106890CA",-0.288732582446375
"MMD1",-1.57075203983735
"CAALFM_C106910CA",0.2156046742976
"CAALFM_C106920CA",0.672784661181913
"PGA63",0.957842454047889
"ATC1",-0.146404765997087
"tP(AGG)1",-1.20704543579019
"SUI2",0.10618045959376
"CAALFM_C106970CA",-0.243430518191206
"CAALFM_C106980CA",-3.33747735857218
"tL(UAA)4",-0.304341594723922
"MEF2",-0.722016193236184
"CAALFM_C107010WA",-0.123883750144951
"PUT3",0.419172980074498
"RBT4",0.294408141749407
"CAALFM_C107040CA",0.68277786453476
"CAALFM_C107050CA",0.526019632873901
"CAALFM_C107060CA",-0.533814685122201
"DHH1",-0.0724269276270931
"CAALFM_C107080WA",0.464636534623103
"CAALFM_C107090CA",0.524240773491447
"CAALFM_C107100CA",1.02437203662287
"TAF145",0.090960565112226
"GAP4",0.419770868970678
"CAALFM_C107130CA",0.210638311389021
"RIA1",-0.0137068818337309
"CAALFM_C107150WA",-0.357935446943783
"CAALFM_C107160CA",0.0816624456183798
"ZCF23",1.24828406775744
"CCS1",0.473334503946364
"SOG2",0.214745927368539
"YMC1",-0.738030133311235
"CAALFM_C107210CA",0.201999127874777
"CAALFM_C107220WA",0.412472713455151
"PHO15",-0.32376985629134
"YPD1",-0.0366151854868287
"ALG9",0.135997664298001
"CAALFM_C107260CA",0.499579716876464
"SEC34",0.341842825692683
"CAALFM_C107280CA",-0.00778396337619343
"tL(AAG)2",-2.96467545605149
"CAALFM_C107320WA",-1.10673087679503
"RME1",-1.63856507843872
"CAALFM_C107340WA",0.435750937250368
"GPX3",-0.540433607520513
"CAALFM_C107360WA",0.299564607475956
"CPH1",1.76300550582261
"KSP1",-0.040476506961249
"CAALFM_C107390WA",-0.0842783931659453
"CAALFM_C107400CA",0.0459299683305416
"SKP1",-0.687572197258443
"PEX3",-0.753966902807953
"PHO100",0.190674973970533
"CAALFM_C107440WA",0.44377672743799
"CAALFM_C107450WA",-0.135562312011701
"GPI8",0.548442933089978
"CAALFM_C107470CA",-0.378535431441323
"CAALFM_C107480CA",0.122051712615924
"CAALFM_C107490CA",-0.149668021423376
"LHP1",-0.234357050185451
"CAALFM_C107510WA",-0.230500597050323
"IST2",-0.747948843793687
"CAALFM_C107530WA",-0.211001824071172
"BBC1",-0.130827322247396
"SWD2",-0.222775575425488
"CAALFM_C107560WA",-0.184341192062464
"CAALFM_C107570CA",0.0076393563451552
"PRY1",-1.0459974217349
"CAALFM_C107590CA",0.139108924839421
"ATP7",-1.00120975778782
"CAALFM_C107610CA",-0.877948111222166
"PIR32",-0.947721980430892
"CAALFM_C107630WA",-0.379859686083307
"CAALFM_C107640CA",0.494422697469499
"CAALFM_C107650WA",1.04988508076758
"CAALFM_C107660WA",-1.625011809248
