"","condition_RS3_vs_ctl"
"TRY2",0.125997651186399
"CAALFM_C105100WA",-0.0845674983952731
"ARO4",-0.0537440614231668
"CAALFM_C105120WA",0.14254441874473
"BRG1",3.33835939862525
"CAALFM_C105150CA",0.0898537011160233
"CAALFM_C105160CA",0.0692331811729398
"CUE5",-0.0893638653644303
"CAALFM_C105180CA",-0.282359901006925
"CAALFM_C105190CA",-0.544756198962778
"CAALFM_C105200CA",-0.325081589366608
"CAALFM_C105210CA",-0.26492750868305
"CAALFM_C105220CA",0.324912632244851
"CAALFM_C105230WA",-0.703627558227858
"RPT1",-0.0777943111128789
"CAALFM_C105250WA",NA
"SDH1",-0.0912682386180805
"CAALFM_C105270CA",-0.350532092260443
"CAALFM_C105280WA",-0.0322277385118175
"GRS1",-0.205569861036627
"PRD1",0.840459633247631
"tP(UGG)1",-0.0338038256209912
"CAALFM_C105320CA",0.13294654777953
"CAALFM_C105330CA",-0.063379484494628
"ZCF2",0.0748086151282475
"YPT53",0.0147353856232594
"CAALFM_C105360CA",0.289292920148963
"CAALFM_C105370CA",0.195752497956422
"CAALFM_C105380CA",0.111279716898401
"CAALFM_C105390CA",-0.211426299823603
"CAALFM_C105400CA",-0.191431489716773
"TRP99",-0.101911633394223
"CAALFM_C105420WA",-0.478176688835637
"SPT20",-0.160724208221545
"CAALFM_C105440CA",0.135058379244997
"CAALFM_C105450WA",NA
"KOG1",-0.0644291720558307
"MTM1",-0.199474437021546
"CAALFM_C105480CA",0.109654448039579
"CAALFM_C105490CA",-0.318114923298677
"RSM22",0.018679585167143
"RPS27A",-0.129304234171596
"CAALFM_C105520WA",0.821560196898167
"SSH1",-0.121720103867564
"CAALFM_C105540CA",0.090657242637201
"CAALFM_C105550CA",0.0456851455437794
"RIB4",0.0330550142258506
"tN(GUU)2",-0.00183610396993195
"tN(GUU)1",-0.227112823832347
"tT(AGU)1",-0.00309127574420507
"GSL1",0.326308737892949
"CAALFM_C105610WA",0.16404329206191
"STE3",-0.248281904796858
