"","condition_YS30_vs_ctl"
"RPP1",-0.135075376690275
"ELA1",-0.995567725638283
"PDR16",-0.174568891198793
"CAALFM_C103830CA",0.118766791172791
"CAALFM_C103840WA",-0.293792769660744
"BNI4",0.605181426658724
"CAALFM_C103870CA",1.51735233151654
"CAALFM_C103880CA",0.0763826500867426
"CAALFM_C103890WA",0.0673696029063826
"SEN15",-0.53301610994732
"CAALFM_C103910CA",-0.125843675743449
"CAALFM_C103920CA",-0.20311658544216
"CAALFM_C103930WA",-0.778308211561203
"CAALFM_C103940WA",-0.383012362528844
"CAALFM_C103950CA",-0.0282125059177612
"CAALFM_C103960CA",0.680960735592415
"SPC19",0.681552020407419
"CAALFM_C103990WA",0.210927735021658
"KTR4",0.0899644862477258
"CAALFM_C104010CA",-0.173827012548869
"CSH1",-1.16511428630724
"CAALFM_C104030WA",-0.947769591833151
"CAALFM_C104040CA",0.488510558764366
"MFALPHA",0.0764387581168206
"IFI3",0.0406172571437929
"BET4",-0.367565894400213
"MAD2",0.0359114985705756
"CAALFM_C104090CA",0.628902019689658
"POR1",-1.78127830916209
"CAALFM_C104110WA",0.0976004292036037
"CAALFM_C104120CA",-0.533683675860628
"ERB1",0.393889127866094
"IFD6",-0.523910003086247
"CAALFM_C104150CA",0.141657048962906
"CAALFM_C104160CA",0.0702557375751001
"HTA2",1.14139905804025
"CAALFM_C104180WA",0.772452720143006
"CAALFM_C104190CA",0.00427712815466265
"CAALFM_C104200CA",-0.11655406644031
"CDC3",0.458041594818582
"CAALFM_C104220CA",0.470545093143975
"CAALFM_C104230WA",0.251536995501646
"HHF1",0.96453705731655
"HHT21",1.03341172305139
"CAALFM_C104270CA",0.849978255527553
"CAALFM_C104280CA",0.653539829991053
"ACS2",-1.70259330802612
"SSA2",-0.71330447815266
"GIG1",-0.000524181842909388
"GPM2",0.848688277540883
"RPN4",0.929654240197475
"CAALFM_C104340CA",-0.501862139901448
"CAALFM_C104350CA",-0.111836534745594
"CAALFM_C104360CA",-1.2220288042
"CAALFM_C104370CA",-0.457807186942435
"SIT4",0.514452665633366
"NOP4",0.802557934882761
"APE2",-0.771247959903198
"ESS1",-0.032931950739871
"URA6",-0.950066360132018
