"","condition_SS30_vs_ctl"
"CAALFM_C104850CA",-0.330398383603607
"CAALFM_C104860WA",0.00713877956301291
"SAP7",-1.44926400093413
"MRPL37",-0.409224604052909
"YBN5",-0.581211692767085
"MNN15",0.15232380342036
"CAALFM_C104910CA",0.540736772453969
"CAALFM_C104930CA",2.81136115688849
"CAALFM_C104940CA",2.1733758340087
"RPM2",0.927719648689043
"CAALFM_C104960CA",0.009055855195934
"CAALFM_C104970WA",0.0489007100906357
"CAALFM_C104980CA",0.40333771887148
"CAALFM_C104990CA",-0.959725298483874
"RHD1",-0.49159611038861
"CAALFM_C105010CA",0.542560194714945
"ARG2",-0.7718598783967
"PSF2",0.245663366527977
"RRP6",-0.0747483313887977
"REI1",-0.0371581117544659
"GPI7",0.372393154272216
"GPT1",1.85092603587968
"TRY2",0.239867039949257
"CAALFM_C105100WA",-0.623289307094833
"ARO4",-0.551518894086217
"CAALFM_C105120WA",-0.316519990306492
"BRG1",4.53164866332492
"CAALFM_C105150CA",1.41138343628592
"CAALFM_C105160CA",4.71894630480382
"CUE5",-0.0386772427471905
"CAALFM_C105180CA",0.194680867998447
"CAALFM_C105190CA",-0.546714226185934
"CAALFM_C105200CA",0.686973949569794
"CAALFM_C105210CA",-0.923590279554383
"CAALFM_C105220CA",-0.49193241495348
"CAALFM_C105230WA",-1.56899511920178
"RPT1",0.439975183969186
"CAALFM_C105250WA",NA
"SDH1",-0.40265633740295
"CAALFM_C105270CA",-0.336537094237035
"CAALFM_C105280WA",0.0325516518562003
"GRS1",-0.27839723344647
"PRD1",0.996466698810039
"tP(UGG)1",-0.292059152492063
"CAALFM_C105320CA",0.742520248496087
"CAALFM_C105330CA",-1.19261013219963
"ZCF2",0.150070035402495
"YPT53",0.273046992190712
"CAALFM_C105360CA",-0.0823433184324442
"CAALFM_C105370CA",0.886823872594322
"CAALFM_C105380CA",0.349027737672936
"CAALFM_C105390CA",0.0179461844249483
"CAALFM_C105400CA",-0.00843932155018685
"TRP99",0.686499192792423
"CAALFM_C105420WA",-0.397094579835749
"SPT20",-0.775444047772095
"CAALFM_C105440CA",1.32677310712217
"CAALFM_C105450WA",NA
"KOG1",0.753053283537927
"MTM1",0.566730848203284
"CAALFM_C105480CA",0.167913722469091
"CAALFM_C105490CA",0.386518741481588
"RSM22",-0.237248404471041
"RPS27A",0.596090810136121
"CAALFM_C105520WA",1.75950094476596
"SSH1",-0.14711145137475
"CAALFM_C105540CA",0.81148410851111
"CAALFM_C105550CA",-0.068588938400924
"RIB4",-0.965148955193072
"tN(GUU)2",-0.0152468141620642
"tN(GUU)1",-1.75548612334872
"tT(AGU)1",-0.0232844101620282
"GSL1",-0.294386431736609
"CAALFM_C105610WA",-0.284828175785035
"STE3",-0.507612619606774
"CAALFM_C105630CA",0.0569143171907067
"FAL1",-0.098057619562706
"CAALFM_C105650WA",-0.0374202716237108
